PassengerId,Perished,Pclass,Sex,Age,SibSp,Parch,Fare,HasCabin,Embarked_Q,Embarked_S,FamilySize,IsAlone,AgeGroup,FareGroup,Title
1,1.0,3,0,22.0,1,0,7.25,0,False,True,2,0,2,0,0
2,0.0,1,1,38.0,1,0,71.2833,1,False,False,2,0,3,3,1
3,0.0,3,1,26.0,0,0,7.925,0,False,True,1,1,2,1,1
4,0.0,1,1,35.0,1,0,53.1,1,False,True,2,0,2,3,1
5,1.0,3,0,35.0,0,0,8.05,0,False,True,1,1,2,1,0
6,1.0,3,0,28.0,0,0,8.4583,0,True,False,1,1,2,1,0
7,1.0,1,0,54.0,0,0,51.8625,1,False,True,1,1,3,3,0
8,1.0,3,0,2.0,3,1,21.075,0,False,True,5,0,0,2,2
9,0.0,3,1,27.0,0,2,11.1333,0,False,True,3,0,2,1,1
10,0.0,2,1,14.0,1,0,30.0708,0,False,False,2,0,1,2,1
11,0.0,3,1,4.0,1,1,16.7,1,False,True,3,0,0,2,1
12,0.0,1,1,58.0,0,0,26.55,1,False,True,1,1,3,2,1
13,1.0,3,0,20.0,0,0,8.05,0,False,True,1,1,2,1,0
14,1.0,3,0,39.0,1,5,31.275,0,False,True,7,0,3,2,0
15,1.0,3,1,14.0,0,0,7.8542,0,False,True,1,1,1,0,1
16,0.0,2,1,55.0,0,0,16.0,0,False,True,1,1,3,2,1
17,1.0,3,0,2.0,4,1,29.125,0,True,False,6,0,0,2,2
18,0.0,2,0,28.0,0,0,13.0,0,False,True,1,1,2,1,0
19,1.0,3,1,31.0,1,0,18.0,0,False,True,2,0,2,2,1
20,0.0,3,1,28.0,0,0,7.225,0,False,False,1,1,2,0,1
21,1.0,2,0,35.0,0,0,26.0,0,False,True,1,1,2,2,0
22,0.0,2,0,34.0,0,0,13.0,1,False,True,1,1,2,1,0
23,0.0,3,1,15.0,0,0,8.0292,0,True,False,1,1,1,1,1
24,0.0,1,0,28.0,0,0,35.5,1,False,True,1,1,2,3,0
25,1.0,3,1,8.0,3,1,21.075,0,False,True,5,0,0,2,1
26,0.0,3,1,38.0,1,5,31.3875,0,False,True,7,0,3,3,1
27,1.0,3,0,28.0,0,0,7.225,0,False,False,1,1,2,0,0
28,1.0,1,0,19.0,3,2,263.0,1,False,True,6,0,2,3,0
29,0.0,3,1,28.0,0,0,7.8792,0,True,False,1,1,2,0,1
30,1.0,3,0,28.0,0,0,7.8958,0,False,True,1,1,2,0,0
31,1.0,1,0,40.0,0,0,27.7208,0,False,False,1,1,3,2,3
32,0.0,1,1,28.0,1,0,146.5208,1,False,False,2,0,2,3,1
33,0.0,3,1,28.0,0,0,7.75,0,True,False,1,1,2,0,1
34,1.0,2,0,66.0,0,0,10.5,0,False,True,1,1,4,1,0
35,1.0,1,0,28.0,1,0,82.1708,0,False,False,2,0,2,3,0
36,1.0,1,0,42.0,1,0,52.0,0,False,True,2,0,3,3,0
37,0.0,3,0,28.0,0,0,7.2292,0,False,False,1,1,2,0,0
38,1.0,3,0,21.0,0,0,8.05,0,False,True,1,1,2,1,0
39,1.0,3,1,18.0,2,0,18.0,0,False,True,3,0,1,2,1
40,0.0,3,1,14.0,1,0,11.2417,0,False,False,2,0,1,1,1
41,1.0,3,1,40.0,1,0,9.475,0,False,True,2,0,3,1,1
42,1.0,2,1,27.0,1,0,21.0,0,False,True,2,0,2,2,1
43,1.0,3,0,28.0,0,0,7.8958,0,False,False,1,1,2,0,0
44,0.0,2,1,3.0,1,2,41.5792,0,False,False,4,0,0,3,1
45,0.0,3,1,19.0,0,0,7.8792,0,True,False,1,1,2,0,1
46,1.0,3,0,28.0,0,0,8.05,0,False,True,1,1,2,1,0
47,1.0,3,0,28.0,1,0,15.5,0,True,False,2,0,2,2,0
48,0.0,3,1,28.0,0,0,7.75,0,True,False,1,1,2,0,1
49,1.0,3,0,28.0,2,0,21.6792,0,False,False,3,0,2,2,0
50,1.0,3,1,18.0,1,0,17.8,0,False,True,2,0,1,2,1
51,1.0,3,0,7.0,4,1,39.6875,0,False,True,6,0,0,3,2
52,1.0,3,0,21.0,0,0,7.8,0,False,True,1,1,2,0,0
